"X [GHz]"	"Y [fraction]"
0.001	0
0.003	0
0.005	0
0.008	0.00367647
0.01	0.00729927
0.012	0.0140845
0.015	0.0328947
0.018	0.075
0.02	0.150602
0.025	0.4
0.03	0.553846
0.04	0.76
0.05	0.890244
0.07	1.01538
0.1	1.16
0.15	1.42857
0.2	1.8
0.3	2.46667
0.5	2.8
0.7	2
1	1
